ISBN,CopyNumber,PatronID,CheckoutDate,DueDate,TimesRenewed,OverdueFee
9780385333764,1451,882,2016-06-01 21:39:01,2016-06-29 21:39:01,1,0
9780140817782,4360,971,2016-10-02 06:05:45,2016-10-30 06:05:45,1,0
9780689870163,3303,966,2018-10-06 00:31:03,2018-11-17 00:31:03,2,0
9780312273224,334,871,2013-12-29 02:36:52,2014-01-12 02:36:52,0,14.0
9780375823619,4141,108,2014-01-08 09:57:11,2014-01-22 09:57:11,0,0
9780345448149,521,34,2016-11-13 18:59:24,2016-12-11 18:59:24,1,0
9780747573623,1138,535,2020-04-25 18:13:16,2020-05-23 18:13:16,1,4.0
9780380716821,1095,211,2010-06-28 22:09:12,2010-07-12 22:09:12,0,0
9780385335973,452,968,2010-04-26 01:14:22,2010-06-07 01:14:22,2,0
9781569719640,3603,80,2017-08-18 10:56:26,2017-09-15 10:56:26,1,14.5
9780374280390,3845,331,2012-12-26 16:42:04,2013-01-23 16:42:04,1,0
9780595321803,323,233,2019-10-19 06:30:30,2019-11-16 06:30:30,1,0
9780140440287,1644,824,2015-06-21 13:24:37,2015-07-05 13:24:37,0,13.0
9780192836892,4778,316,2020-07-24 08:35:31,2020-08-07 08:35:31,0,15.0
9780613572743,1042,650,2018-07-10 11:04:15,2018-07-24 11:04:15,0,0
9780385721059,116,237,2013-08-20 03:26:24,2013-09-17 03:26:24,1,5.0
9780060733353,2339,701,2011-12-08 03:11:15,2011-12-22 03:11:15,0,0
9780816636709,2305,663,2018-02-23 14:43:18,2018-03-09 14:43:18,0,0
9780394832203,3091,4,2013-05-13 22:03:35,2013-05-27 22:03:35,0,8.5
9780694524983,4858,121,2012-01-12 18:02:17,2012-02-09 18:02:17,1,0
9780553262964,3090,477,2016-11-24 02:04:37,2017-01-05 02:04:37,2,0
9780812474947,2643,646,2019-09-17 10:13:59,2019-10-15 10:13:59,1,0.5
9780385280792,1904,627,2019-09-03 15:39:58,2019-09-17 15:39:58,0,5.0
9781550549171,4564,183,2016-08-14 19:12:40,2016-08-28 19:12:40,0,4.5
9781400065875,3654,751,2020-08-30 00:51:20,2020-09-13 00:51:20,0,0
9781400080663,2228,327,2017-04-09 04:38:51,2017-05-07 04:38:51,1,0
9780140286274,2841,447,2014-12-25 00:02:49,2015-01-08 00:02:49,0,1.0
9780152050863,1486,412,2010-05-13 02:05:14,2010-05-27 02:05:14,0,0
9780743487580,15,314,2019-07-04 18:57:19,2019-08-15 18:57:19,2,11.5
9781932234299,4378,211,2020-11-26 18:54:08,2021-01-07 18:54:08,2,3.5
9780822001836,952,900,2014-06-27 12:39:46,2014-07-11 12:39:46,0,0
9780881792065,1223,107,2011-06-15 07:00:56,2011-07-13 07:00:56,1,5.0
9780140374384,4674,612,2015-09-25 22:27:20,2015-11-06 22:27:20,2,5.0
9780940450851,1602,204,2011-04-09 19:34:12,2011-05-07 19:34:12,1,0
9781418503468,4617,30,2013-12-15 06:53:29,2013-12-29 06:53:29,0,0
9780441102679,1145,383,2016-02-09 00:39:52,2016-03-08 00:39:52,1,0
9780552997775,645,645,2010-04-13 10:14:53,2010-04-27 10:14:53,0,5.5
9780552120401,93,751,2019-06-14 04:52:16,2019-06-28 04:52:16,0,0
9780830832941,2429,458,2014-09-27 01:54:14,2014-10-11 01:54:14,0,0
9780974607894,2718,392,2019-02-22 12:50:14,2019-04-05 12:50:14,2,12.0
9780143058090,3259,157,2015-05-07 00:25:57,2015-06-04 00:25:57,1,14.0
9781591169208,3253,849,2012-06-18 09:28:04,2012-07-02 09:28:04,0,0
9781843534754,179,426,2012-02-06 16:10:22,2012-03-19 16:10:22,2,0
9782226074744,398,566,2010-09-20 06:30:03,2010-10-04 06:30:03,0,0
9780886774264,3256,6,2018-03-13 15:06:01,2018-03-27 15:06:01,0,0
9781883011529,2692,567,2013-05-01 14:31:41,2013-05-15 14:31:41,0,0
9780006861355,3279,18,2015-09-26 17:22:40,2015-10-24 17:22:40,1,1.5
9780446617451,37,80,2011-10-01 10:10:50,2011-10-29 10:10:50,1,0
9780802151803,1091,32,2013-05-24 09:21:05,2013-06-07 09:21:05,0,0
9780151001361,1296,452,2013-05-01 08:54:17,2013-05-15 08:54:17,0,0
9780440241911,3552,557,2013-03-26 17:45:09,2013-05-07 17:45:09,2,0
