ISBN,CopyNumber,LibraryID,PurchaseDate,Condition,Status
9780140441796,1,2,2011-01-09 12:00:28,Fair,On Shelf
9780872205857,2,5,2004-02-07 16:15:46,Poor,On Shelf
9780553804324,3,5,2012-07-03 06:14:42,Fine,On Holds Shelf
9781573441575,4,1,1996-01-31 08:41:36,Poor,On Shelf
9780486431840,5,5,1985-12-30 05:01:18,Fine,On Shelf
9780679768098,6,3,2002-09-09 23:42:07,Fine,On Shelf
9780465056743,7,3,2007-09-13 10:22:34,Poor,On Shelf
9780865475243,8,3,1994-09-04 03:57:15,Like New,Checked Out
9780307209436,9,1,1982-03-29 23:56:28,Fine,Checked Out
9780141014081,10,3,2011-03-09 10:48:55,Poor,Checked Out
9780142002803,11,2,2011-08-09 05:20:24,Like New,On Shelf
9780226142692,12,1,2012-07-03 23:48:19,Poor,On Shelf
9780226443225,13,2,2019-08-21 14:16:45,Fine,On Shelf
9780870611513,14,5,1985-08-01 11:37:21,Fair,On Shelf
9780674996236,15,5,2007-09-15 10:45:04,Poor,Checked Out
9780553381696,16,4,2002-05-14 18:20:47,Fair,On Shelf
9780140031768,17,3,2020-07-04 20:03:33,Like New,On Shelf
9781419120022,18,2,2001-12-01 18:24:27,Good,Checked Out
9781932219043,19,5,2019-07-07 14:54:26,Fine,Checked Out
9780141439617,20,1,1982-06-15 00:20:21,Fair,On Shelf
9780385033985,21,3,2008-12-30 21:58:46,Good,Checked Out
9781581807592,22,3,1989-03-16 07:33:05,Like New,On Shelf
9780140265668,23,2,2001-08-24 20:26:47,Like New,On Shelf
9780312186883,24,5,1997-12-20 16:46:24,Like New,Checked Out
9780679601708,25,5,1991-04-12 23:21:02,Fair,On Shelf
9780192834911,26,5,1994-02-19 05:32:40,Poor,On Shelf
9780425212592,27,3,1991-10-12 12:46:27,Fine,On Shelf
9780590438808,28,3,1987-11-10 18:33:04,Like New,On Shelf
9780805210286,29,5,2004-07-01 17:42:50,Fair,Checked Out
9780812034110,30,4,2017-12-21 06:27:56,Fair,On Shelf
9780312956127,31,3,1992-11-26 21:25:27,Good,On Shelf
9780006514855,32,4,1986-02-04 04:50:45,Good,On Holds Shelf
9780811828031,33,5,1985-08-09 05:40:55,Good,Checked Out
9780192804785,34,2,2009-08-18 23:32:49,Fair,On Shelf
9780375752674,35,4,1988-08-31 06:38:49,Fine,On Holds Shelf
9780838526958,36,5,2015-03-12 04:58:15,Good,On Shelf
9780525469780,37,2,1999-10-16 12:23:00,Fine,Checked Out
9780977880430,38,4,2010-12-28 08:53:36,Fair,Checked Out
9780765342522,39,4,1983-12-25 01:53:54,Fair,Processing
9780631186274,40,3,2018-03-25 14:48:38,Fair,On Shelf
9780007176151,41,5,1981-10-08 13:03:54,Good,On Shelf
9780375727382,42,3,2005-07-16 18:59:03,Fine,Checked Out
9781564782144,43,2,1994-05-14 23:02:47,Poor,Checked Out
9781560764984,44,4,2016-07-18 04:35:03,Good,On Shelf
9780517223628,45,1,2000-12-26 22:11:23,Fair,On Shelf
9780821775899,46,2,2012-11-13 08:41:55,Good,On Shelf
9780451203779,47,4,2020-09-13 01:58:18,Like New,On Holds Shelf
9781400079421,48,2,1985-08-05 23:27:44,Poor,Processing
9780345407863,49,5,1988-07-20 12:47:19,Good,On Shelf
9780312342340,50,3,2000-10-26 20:27:30,Like New,On Holds Shelf
9782864603498,51,3,1989-01-24 11:11:57,Like New,On Shelf
9780375825385,52,2,1985-08-05 04:46:27,Good,Processing
9781421507194,53,4,1993-02-22 07:00:58,Fair,On Shelf
9781401209254,54,1,1988-12-05 19:44:52,Good,Checked Out
9780060885397,55,2,2020-03-26 14:08:32,Poor,On Shelf
9780785821083,56,4,2019-02-03 11:53:37,Like New,On Shelf
9780425185506,57,2,1991-08-20 22:13:39,Fine,On Holds Shelf
9780006550433,58,1,2007-07-02 10:10:07,Like New,Checked Out
9782290328224,59,3,2017-11-28 05:21:03,Poor,On Shelf
9780929524351,60,2,1994-09-10 01:12:16,Fine,On Shelf
9780140443332,61,3,2000-10-14 02:11:24,Fine,On Shelf
73999254907,62,1,1986-01-27 17:37:17,Good,On Shelf
9780143039846,63,1,1993-05-30 01:47:02,Fair,Checked Out
9788120818941,64,2,1991-06-05 06:25:42,Fine,On Shelf
9780195153828,65,2,1981-11-02 05:29:11,Fair,Checked Out
9780786819119,66,3,2020-06-25 14:53:08,Fair,On Shelf
9780142407912,67,1,1984-07-31 03:22:19,Fair,Checked Out
9780735619678,68,3,1987-12-14 20:59:54,Fine,On Shelf
9781886968059,69,4,1980-03-16 17:28:59,Like New,On Shelf
9788427030978,70,3,2003-09-05 14:19:05,Poor,Processing
9780374527051,71,1,1997-07-30 04:03:42,Poor,On Shelf
9780684831831,72,5,1985-12-07 19:24:22,Fair,On Shelf
9780618619078,73,1,1992-10-10 19:13:30,Like New,On Shelf
9780803724624,74,3,1997-08-16 05:40:38,Fair,On Shelf
9780812695021,75,3,1981-03-14 15:27:10,Like New,On Shelf
9780465014873,76,3,2017-05-30 18:01:37,Fair,Checked Out
9780881927696,77,5,1982-04-12 11:19:19,Fine,Checked Out
9780761929949,78,3,2003-07-09 20:04:28,Poor,Checked Out
9780936077093,79,4,2000-08-03 20:42:15,Good,On Shelf
9780465045853,80,2,1994-12-28 01:24:37,Fine,Checked Out
9780449001967,81,3,2007-04-11 00:08:00,Good,On Shelf
9780674002050,82,2,2007-11-14 18:50:55,Fine,On Shelf
9780752864327,83,3,1995-09-15 15:42:55,Fair,Checked Out
9780748702558,84,2,2015-04-17 12:09:37,Good,On Shelf
9780801883941,85,1,1980-10-07 21:36:58,Good,Checked Out
9780743255905,86,2,1995-07-13 05:04:50,Fine,On Shelf
9780440182931,87,1,2017-04-26 09:40:03,Good,On Shelf
9780756614195,88,4,2006-07-22 09:33:20,Poor,On Shelf
9780826414779,89,4,1987-06-25 06:17:09,Fair,On Shelf
9780803494664,90,4,1984-03-05 13:51:20,Good,Checked Out
9780439700887,91,1,2012-06-06 16:45:03,Fine,On Holds Shelf
9780786942701,92,3,2007-04-28 20:34:11,Good,Checked Out
9782266129374,93,1,1995-09-25 21:54:24,Fine,On Shelf
9781400083114,94,5,2015-02-09 16:18:22,Poor,On Shelf
9780375758119,95,3,1989-01-29 20:24:08,Fine,On Shelf
9780099440833,96,1,1986-08-27 21:44:27,Like New,On Shelf
9780553583151,97,4,1981-05-26 14:57:09,Fair,Checked Out
9780395959916,98,3,2000-01-03 21:17:59,Fair,Checked Out
9780446677127,99,1,1982-04-09 19:50:04,Like New,On Shelf
9781402714573,100,5,2003-10-17 00:39:34,Poor,On Shelf
9780385340540,101,1,2017-08-16 15:57:56,Good,Processing
9780441005666,102,2,1994-12-25 13:57:26,Like New,Checked Out
9783462032178,103,3,2005-03-26 15:13:28,Poor,On Shelf
9780765306470,104,4,1988-12-20 12:20:57,Poor,Checked Out
9780435124090,105,4,2017-10-27 17:44:18,Poor,Checked Out
9781580070911,106,3,1986-04-14 10:53:41,Like New,On Shelf
9780373484416,107,2,1997-08-20 23:29:37,Fair,Checked Out
9781421509242,108,3,1997-12-28 20:55:56,Like New,On Shelf
9780140620122,109,1,2018-01-29 00:12:43,Like New,On Shelf
9780373246472,110,2,1990-01-28 11:04:14,Good,On Shelf
9780394584041,111,2,1994-08-02 13:31:05,Like New,On Shelf
9780752857930,112,5,1985-03-28 08:50:52,Fair,On Shelf
9780679767398,113,5,2001-09-28 00:26:49,Poor,On Shelf
9780802150424,114,5,2016-04-23 08:46:05,Poor,Checked Out
9780060572990,115,5,1991-03-25 08:29:02,Good,On Shelf
9780195325928,116,1,2002-09-23 15:25:11,Poor,Checked Out
9780674995376,117,3,1984-03-09 03:17:16,Fair,Checked Out
9780385048644,118,4,1983-01-12 17:57:00,Fair,Processing
9780446516662,119,3,1993-10-03 23:49:17,Like New,On Shelf
9781599150147,120,5,1991-10-14 11:02:55,Fair,On Shelf
9780785263715,121,5,1998-06-17 12:08:56,Like New,On Shelf
9780312330873,122,1,2020-02-14 12:38:26,Poor,Checked Out
9780471780939,123,3,2015-11-27 07:26:44,Poor,On Holds Shelf
9780226307862,124,1,2004-09-10 02:54:11,Fine,On Holds Shelf
9780743477369,125,1,2003-07-05 17:55:30,Fine,On Shelf
9781581345261,126,4,2010-04-27 08:45:55,Poor,On Shelf
9780553586602,127,5,1987-07-16 18:46:28,Fair,On Shelf
9780486256429,128,1,2020-05-16 16:57:22,Good,On Shelf
9780449005866,129,5,1983-04-04 18:30:35,Fine,Checked Out
9780141017723,130,5,2009-07-19 10:09:23,Fair,On Shelf
9780670034666,131,4,2018-02-05 04:51:40,Fair,On Shelf
9780553582918,132,1,1992-05-23 07:31:02,Good,Checked Out
9781400049516,133,5,2009-02-23 21:57:23,Good,On Shelf
9780312990688,134,4,2003-07-17 07:33:53,Fine,Checked Out
9780226307800,135,5,2005-12-28 17:00:37,Fair,On Shelf
9780192802637,136,5,2010-03-29 06:55:21,Fair,On Shelf
9780517100783,137,4,2009-06-09 06:31:50,Good,On Shelf
9780553571585,138,1,1990-03-29 06:14:49,Fair,On Holds Shelf
9780131494848,139,2,2013-04-27 03:18:56,Poor,Checked Out
9780064470650,140,1,2005-10-25 10:42:45,Good,Processing
9780743269834,141,4,1992-10-27 14:34:36,Poor,Checked Out
9780571144563,142,3,1992-03-06 22:11:15,Good,On Holds Shelf
