PatronID,ISBN,LibraryID,DatePlaced
223,9780375707278,4,2018-09-17 20:30:08
435,9780439774390,2,2004-11-13 00:24:56
510,9780684846316,5,2009-05-01 06:50:51
397,9780375509322,5,1985-06-21 18:30:48
238,9780679887430,2,1988-04-23 22:23:38
654,9780060731441,4,2016-06-03 12:29:24
575,9780394701493,3,1996-04-16 06:55:31
503,9780553400038,1,1998-04-17 04:46:18
404,9780865475878,4,2011-10-16 02:36:54
428,9780684867489,1,1982-07-06 00:40:16
756,9781902602325,5,1992-03-19 12:29:58
159,9781857233940,5,2015-03-15 13:22:22
321,9780887308550,2,1980-01-26 10:21:20
510,9781403356208,4,2012-08-29 08:26:13
211,9780143039105,2,1982-08-26 18:36:00
24,9780515140774,3,2011-02-28 18:36:11
28,9780879757779,3,1982-07-01 00:26:54
215,9780425192795,4,2000-06-13 02:26:04
553,9780679428954,1,1994-04-19 20:54:55
505,9781859848982,4,2004-03-11 15:49:06
577,9780393327069,2,1989-10-20 12:55:25
62,9780446532433,1,1992-06-02 21:02:21
751,9780811208994,5,2007-11-30 22:06:29
833,9780345428837,3,2016-10-08 13:32:15
904,9780571204106,2,1994-06-16 00:52:04
776,9781931082006,2,2020-01-26 12:01:27
654,9780521011761,2,2019-08-19 06:59:00
740,9780140286373,4,1991-12-15 20:53:14
227,9782266130608,5,2015-10-24 17:22:17
708,9780486432540,3,2000-10-21 01:27:44
531,9781419188510,5,1986-04-23 12:37:04
134,9781586216887,4,2008-02-05 11:19:37
780,9780060759254,2,1998-01-06 02:18:56
805,9780864424655,4,1995-08-18 22:59:02
339,9780940450837,3,1992-06-06 06:53:36
846,73999768442,5,2009-09-23 05:52:07
44,9781590529621,2,2019-12-25 10:56:50
683,9781892389381,5,1991-11-20 22:26:18
683,9781421508382,5,2014-10-19 11:10:57
86,9781892295491,4,1991-09-16 09:45:02
537,9780764585746,5,2006-04-29 17:18:45
24,9780373632442,4,1985-04-20 13:52:08
796,9780156030939,2,2015-07-16 01:23:54
630,9780393977868,5,2016-04-11 08:03:26
351,9781401200138,5,1994-11-09 03:11:41
632,9780679725404,3,1996-04-03 18:55:36
222,9780792273639,3,1996-06-07 20:11:18
332,9780743418133,5,2010-05-05 21:58:11
829,9780552992091,2,2020-07-11 04:15:05
417,9780684844077,5,2000-10-18 05:56:13
660,9781585672752,5,1992-05-07 01:30:55
378,9780812971897,5,1989-05-07 16:07:29
645,9780060090388,4,2013-09-27 11:28:21
631,9780743555616,1,1988-08-30 17:28:07
993,9780743453141,4,1992-12-21 19:52:42
404,9780345439499,5,2000-08-23 09:03:41
938,9781841493145,4,1991-05-07 22:16:20
844,9780156002165,4,1981-08-02 06:38:57
540,9781932051292,5,2015-01-22 00:43:03
872,9780471158479,1,1995-01-09 22:57:15
501,9780764226465,4,2007-11-08 20:19:27
139,9780439294843,1,2006-08-19 13:11:37
664,9780300110562,4,2009-03-23 09:37:11
287,9781591165835,3,1999-11-28 21:37:13
860,9780553299618,4,2002-05-05 09:29:13
556,9789861146140,4,1997-04-29 05:59:27
839,9781854598318,3,2016-09-20 23:35:01
24,9781930846104,2,2012-02-21 05:07:49
776,9780486431680,4,2020-11-19 13:31:59
777,9788497646987,5,1991-05-23 20:00:44
711,9780312426118,4,2011-08-31 11:21:32
579,9780465051366,3,2013-01-09 08:29:30
277,9780785260943,1,1992-01-05 02:09:29
3,9780375826887,5,1981-12-05 15:28:31
