isbn13,title,authors,publication_date
9780439785969,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,9/16/2006
9780439358071,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,9/1/2004
9780439554893,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,11/1/2003
9780439655484,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,5/1/2004
9780439682589,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,9/13/2004
9780976540601,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,4/26/2005
9780439827607,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,9/12/2005
9780517226957,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,11/1/2005
9780345453747,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4/30/2002
9781400052929,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,8/3/2004
9780739322208,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,3/23/2005
9780517149256,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,1/17/1996
9780767908184,A Short History of Nearly Everything,Bill Bryson,9/14/2004
9780767915069,Bill Bryson's African Diary,Bill Bryson,12/3/2002
9780767910439,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,9/14/2004
9780767903868,In a Sunburned Country,Bill Bryson,5/15/2001
9780767903820,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,6/28/2000
9780060920081,The Lost Continent: Travels in Small Town America,Bill Bryson,8/28/1990
9780380713806,Neither Here nor There: Travels in Europe,Bill Bryson,3/28/1993
9780380727506,Notes from a Small Island,Bill Bryson,5/28/1997
9780380715435,The Mother Tongue: English and How It Got That Way,Bill Bryson,9/28/1991
9780345538376,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,9/25/2012
9780618517657,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,10/21/2004
9780618346257,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,9/5/2003
9780618260584,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,10/1/2002
9780618391004,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,11/5/2003
9780618510825,The Lord of the Rings: Complete Visual Companion,Jude Fisher,11/15/2004
9780976694007,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,7/28/2005
9780689840920,Hatchet (Brian's Saga  #1),Gary Paulsen,4/1/2000
9781557344496,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,8/28/1994
9780385326506,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,1/23/2001
9781575606248,Molly Hatchet - 5 of the Best,Molly Hatchet,6/10/2003
9781595580276,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,11/1/2005
9781595962805,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,11/1/2005
9780670059676,Changeling (Changeling  #1),Delia Sherman,8/17/2006
